sale_type,sold_date,property_type,address_1,city,state,zip,price,beds,bath,location,square_feet,lot_size,year_built,days_on_market,price_square_foot,hoa_month,status,next_open_house_start_time,next_open_house_end_time,house_url,source,mls_no,favorite,interested,latitude,longitude
MLS Listing,,Single Family Residential,217 16th Pl Unit A,Costa Mesa,CA,92627,827500,3,3.0,C5 - East Costa Mesa,1520,2300,1991,1,544,200,Active,,,http://www.redfin.com/CA/Costa-Mesa/217-16th-Pl-92627/unit-A/home/5538197,CRMLS,NP20086395,N,Y,33.6326841,-117.9202488
MLS Listing,,Single Family Residential,787 Joann St,Costa Mesa,CA,92627,765000,4,2.0,C2 - Southwest Costa Mesa,1346,6200,1960,1,568,,Active,,,http://www.redfin.com/CA/Costa-Mesa/787-Joann-St-92627/home/4564097,CRMLS,OC20122076,N,Y,33.6572416,-117.9315364
MLS Listing,,Single Family Residential,268 Hanover Dr,Costa Mesa,CA,92626,995000,4,2.0,C4 - Central Costa Mesa,2031,6300,1957,1,490,,Active,,,http://www.redfin.com/CA/Costa-Mesa/268-Hanover-Dr-92626/home/3710774,CRMLS,OC20141394,Y,Y,33.6670958,-117.9106657
MLS Listing,,Single Family Residential,1814 Pitcairn Dr,Costa Mesa,CA,92626,1239000,4,1.75,C1 - Mesa Verde,2183,9000,1962,1,568,,Active,,,http://www.redfin.com/CA/Costa-Mesa/1814-Pitcairn-Dr-92626/home/3697641,CRMLS,OC20138872,N,Y,33.6733554,-117.9328179
MLS Listing,,Townhouse,587 Wendy Ln,Costa Mesa,CA,92627,534900,2,1.0,C2 - Southwest Costa Mesa,1035,1242,1979,1,517,265,Active,,,http://www.redfin.com/CA/Costa-Mesa/587-Wendy-Ln-92627/home/4557437,CRMLS,OC20141490,N,Y,33.644483,-117.922469
MLS Listing,,Single Family Residential,979 Presidio Dr,Costa Mesa,CA,92626,925000,3,2.0,C4 - Central Costa Mesa,1650,6510,1961,1,561,,Active,,,http://www.redfin.com/CA/Costa-Mesa/979-Presidio-Dr-92626/unit-OR/home/3714069,CRMLS,PW20137468,N,N,33.6715955,-117.8989249
MLS Listing,,Single Family Residential,1947 Vitae Pl,Costa Mesa,CA,92627,979000,3,2.25,C2 - Southwest Costa Mesa,1658,3169,2017,3,590,109,Active,,,http://www.redfin.com/CA/Costa-Mesa/1947-Vitae-Pl-92627/home/143914118,CRMLS,OC20139360,N,Y,33.645364,-117.920453
MLS Listing,,Single Family Residential,1090 Salvador St,Costa Mesa,CA,92626,1050000,5,3.0,C4 - Central Costa Mesa,2770,6984,1964,3,379,,Active,,,http://www.redfin.com/CA/Costa-Mesa/1090-Salvador-St-92626/home/3714946,CRMLS,OC20139257,N,Y,33.6750206,-117.903365
MLS Listing,,Townhouse,573 Rockefeller,Irvine,CA,92612,749950,2,2.5,AA - Airport Area,1801,1801,2010,3,416,375,Active,,,http://www.redfin.com/CA/Irvine/573-Rockefeller-92612/home/40102735,CRMLS,LG20132429,N,Y,33.6763618,-117.8496228
MLS Listing,,Townhouse,2214 Mayfair Ct,Costa Mesa,CA,92627,669999,3,2.5,C4 - Central Costa Mesa,1436,1260,1980,4,467,390,Active,,,http://www.redfin.com/CA/Costa-Mesa/2214-Mayfair-Ct-92627/home/4550332,CRMLS,IG20137966,N,N,33.6548772,-117.907955
MLS Listing,,Townhouse,108 Lexington Ln,Costa Mesa,CA,92626,565000,3,2.0,C4 - Central Costa Mesa,1240,1400,1964,4,456,303,Active,,,http://www.redfin.com/CA/Costa-Mesa/108-Lexington-Ln-92626/home/4553000,CRMLS,PW20138219,N,Y,33.6605547,-117.9050929
